,fips,County Name,cases,deaths
1,36001,Albany County ,33187,145
2,36003,Allegany County ,5233,62
3,36005,Bronx County ,215504,1096
4,36007,Broome County ,25669,140
5,36009,Cattaraugus County ,9429,123
6,36011,Cayuga County ,9267,51
7,36013,Chautauqua County ,14349,141
8,36015,Chemung County ,13159,89
9,36017,Chenango County ,5618,40
10,36019,Clinton County ,11421,48
11,36021,Columbia County ,5792,36
12,36023,Cortland County ,6352,50
13,36025,Delaware County ,5154,29
14,36027,Dutchess County ,33668,202
15,36029,Erie County ,116024,771
16,36031,Essex County ,3855,30
17,36033,Franklin County ,6489,32
18,36035,Fulton County ,7827,72
19,36037,Genesee County ,8085,59
20,36039,Greene County ,5027,41
21,36041,Hamilton County ,517,3
22,36043,Herkimer County ,8316,79
23,36045,Jefferson County ,13415,62
24,36047,Kings County ,403854,2206
25,36049,Lewis County ,3263,11
26,36051,Livingston County ,6931,51
27,36053,Madison County ,8123,35
28,36055,Monroe County ,80073,424
29,36057,Montgomery County ,7396,70
30,36059,Nassau County ,214261,623
31,36061,New York County ,263525,878
32,36063,Niagara County ,27138,186
33,36065,Oneida County ,29483,255
34,36067,Onondaga County ,67957,351
35,36069,Ontario County ,12050,77
36,36071,Orange County ,56904,216
37,36073,Orleans County ,5402,29
38,36075,Oswego County ,17334,84
39,36077,Otsego County ,6172,41
40,36079,Putnam County ,12671,28
41,36081,Queens County ,361508,1758
42,36083,Rensselaer County ,19561,100
43,36085,Richmond County ,87114,432
44,36087,Rockland County ,44139,133
45,36089,St. Lawrence County ,13787,79
46,36091,Saratoga County ,29658,150
47,36093,Schenectady County ,19109,90
48,36095,Schoharie County ,3194,16
49,36097,Schuyler County ,2294,10
50,36099,Seneca County ,3735,32
51,36101,Steuben County ,12529,92
52,36103,Suffolk County ,221119,934
53,36105,Sullivan County ,11483,49
54,36107,Tioga County ,6646,19
55,36109,Tompkins County ,13037,30
56,36111,Ulster County ,16883,102
57,36113,Warren County ,9586,65
58,36115,Washington County ,8673,57
59,36117,Wayne County ,11087,96
60,36119,Westchester County ,116663,393
61,36121,Wyoming County ,4630,29
62,36123,Yates County ,2111,13
